



p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/alternativeName,"3544560"^^<http://www.w3.org/2001/XMLSchema#int>,"94519"^^<http://www.w3.org/2001/XMLSchema#int>,"5587955"^^<http://www.w3.org/2001/XMLSchema#int>,"1.5764877"^^<http://www.w3.org/2001/XMLSchema#float>,"59.11991"^^<http://www.w3.org/2001/XMLSchema#float>






p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/basedOn,"39260"^^<http://www.w3.org/2001/XMLSchema#int>,"21522"^^<http://www.w3.org/2001/XMLSchema#int>,"39260"^^<http://www.w3.org/2001/XMLSchema#int>,"1.0"^^<http://www.w3.org/2001/XMLSchema#float>,"1.8241799"^^<http://www.w3.org/2001/XMLSchema#float>


p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/category,"1341"^^<http://www.w3.org/2001/XMLSchema#int>,"28"^^<http://www.w3.org/2001/XMLSchema#int>,"1341"^^<http://www.w3.org/2001/XMLSchema#int>,"1.0"^^<http://www.w3.org/2001/XMLSchema#float>,"47.892857"^^<http://www.w3.org/2001/XMLSchema#float>


p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/cellularComponent,"142943"^^<http://www.w3.org/2001/XMLSchema#int>,"391"^^<http://www.w3.org/2001/XMLSchema#int>,"142943"^^<http://www.w3.org/2001/XMLSchema#int>,"1.0"^^<http://www.w3.org/2001/XMLSchema#float>,"365.58313"^^<http://www.w3.org/2001/XMLSchema#float>






p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/cofactor,"3188046"^^<http://www.w3.org/2001/XMLSchema#int>,"114"^^<http://www.w3.org/2001/XMLSchema#int>,"3473152"^^<http://www.w3.org/2001/XMLSchema#int>,"1.0894297"^^<http://www.w3.org/2001/XMLSchema#float>,"30466.246"^^<http://www.w3.org/2001/XMLSchema#float>




p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/component,"7899"^^<http://www.w3.org/2001/XMLSchema#int>,"5151"^^<http://www.w3.org/2001/XMLSchema#int>,"21282"^^<http://www.w3.org/2001/XMLSchema#int>,"2.6942651"^^<http://www.w3.org/2001/XMLSchema#float>,"4.1316247"^^<http://www.w3.org/2001/XMLSchema#float>


p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/conflictingSequence,"287614"^^<http://www.w3.org/2001/XMLSchema#int>,"123140"^^<http://www.w3.org/2001/XMLSchema#int>,"335376"^^<http://www.w3.org/2001/XMLSchema#int>,"1.1660628"^^<http://www.w3.org/2001/XMLSchema#float>,"2.723534"^^<http://www.w3.org/2001/XMLSchema#float>


p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/context,"67356892"^^<http://www.w3.org/2001/XMLSchema#int>,"72276545"^^<http://www.w3.org/2001/XMLSchema#int>,"72553771"^^<http://www.w3.org/2001/XMLSchema#int>,"1.0771543"^^<http://www.w3.org/2001/XMLSchema#float>,"1.0038356"^^<http://www.w3.org/2001/XMLSchema#float>




p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/disease,"5066"^^<http://www.w3.org/2001/XMLSchema#int>,"4524"^^<http://www.w3.org/2001/XMLSchema#int>,"5066"^^<http://www.w3.org/2001/XMLSchema#int>,"1.0"^^<http://www.w3.org/2001/XMLSchema#float>,"1.1198055"^^<http://www.w3.org/2001/XMLSchema#float>


p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/domain,"6274"^^<http://www.w3.org/2001/XMLSchema#int>,"978"^^<http://www.w3.org/2001/XMLSchema#int>,"13961"^^<http://www.w3.org/2001/XMLSchema#int>,"2.2252152"^^<http://www.w3.org/2001/XMLSchema#float>,"14.275051"^^<http://www.w3.org/2001/XMLSchema#float>




p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/encodedIn,"2282123"^^<http://www.w3.org/2001/XMLSchema#int>,"17412"^^<http://www.w3.org/2001/XMLSchema#int>,"2332577"^^<http://www.w3.org/2001/XMLSchema#int>,"1.0221083"^^<http://www.w3.org/2001/XMLSchema#float>,"133.96376"^^<http://www.w3.org/2001/XMLSchema#float>


p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/enzyme,"8842837"^^<http://www.w3.org/2001/XMLSchema#int>,"5300"^^<http://www.w3.org/2001/XMLSchema#int>,"9008167"^^<http://www.w3.org/2001/XMLSchema#int>,"1.0186965"^^<http://www.w3.org/2001/XMLSchema#float>,"1699.6542"^^<http://www.w3.org/2001/XMLSchema#float>


p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/erratum,"988"^^<http://www.w3.org/2001/XMLSchema#int>,"994"^^<http://www.w3.org/2001/XMLSchema#int>,"994"^^<http://www.w3.org/2001/XMLSchema#int>,"1.0060729"^^<http://www.w3.org/2001/XMLSchema#float>,"1.0"^^<http://www.w3.org/2001/XMLSchema#float>


p,s_count,o_count,t,card,inverseCard


p,s_count,o_count,t,card,inverseCard
